Crash Number,City Town Name,Crash Date,Crash Severity,Crash Status,Crash Time,Crash Year,Max Injury Severity Reported,Number of Vehicles,Police Agency Type,State Police Troop,Age of Driver - Youngest Known,Age of Driver - Oldest Known,Age of Vulnerable User - Youngest Known,Age of Vulnerable User - Oldest Known,Crash Hour,Driver Contributing Circumstances (All Drivers),Driver Distracted By (All Vehicles),First Harmful Event,Is Geocoded,Light Conditions,Manner of Collision,MassDOT District,Vulnerable User Action (All Persons),Vulnerable User Location (All Persons),Vulnerable User Type (All Persons),RMV Document Numbers,Road Surface Condition,Roadway Junction Type,RPA Abbreviation,Total Fatalities,Total Non-Fatal Injuries,Traffic Control Device Type,Trafficway Description,Vehicle Actions Prior to Crash (All Vehicles),Vehicle Configuration (All Vehicles),Vehicle Emergency Use (All Vehicles),Vehicle Towed From Scene (All Vehicles),Vehicle Travel Directions (All Vehicles),Weather Conditions,County Name,Crash Report IDs,FMCSA Reportable (All Vehicles),FMCSA Reportable (Crash),First Harmful Event Location,Geocoding Method,Hit and Run,Locality,Most Harmful Event (All Vehicles),Road Contributing Circumstance,School Bus Related,Speed Limit,Traffic Control Device Function,Vehicle Sequence of Events (All Vehicles),Work Zone Related,Vulnerable User Sequence of Events (All Persons),Vulnerable User Distracted By (All Persons),Vulnerable User Traffic Control Type (All persons),Vulnerable User Origin Destination (All Persons),Vulnerable User Contributing Circumstances (All Persons),Vulnerable User Alcohol Suspected Type (All Persons),Vulnerable User Drug Suspected Type (All Persons),X,Y,Latitude,Longitude,Street Number,Roadway,Near Intersection Roadway,Distance and Direction From Intersection,Milemarker,Milemarker Route,Distance and Direction From Milemarker,Exit Number,Exit Route,Distance and Direction From Exit,Landmark,Distance and Direction From Landmark,AADT-linked RD,AADT Year-linked RD,Peak % Single Unit Trucks-linked RD,Single-Unit Truck and Bus AADT-linked RD,Peak % Combo Trucks-linked RD,Combination Truck AADT-linked RD,Curb-linked RD-linked RD,Jurisdiction-linked RD,Truck Route-linked RD,Left Sidewalk Width-linked RD,Right Sidewalk Width-linked RD,Left Shoulder Width-linked RD,Left Shoulder Type-linked RD,Surface Width-linked RD,Surface Type-linked RD,Right Shoulder Width-linked RD,Right Shoulder Type-linked RD,Number of Travel Lanes-linked RD,Number of Opposing Travel Lanes-linked RD,Median Width-linked RD,Median Type-linked RD,Urban Type-linked RD,Functional Classification-linked RD,Urbanized Area-linked RD,Federal Aid Route Number-linked RD,Facility Type-linked RD,Street Operation-linked RD,Access Control-linked RD,Number of Peak Hour Lanes-linked RD,Speed Limit-linked RD,Street Name-linked RD,From Street Name-linked RD,To Street Name-linked RD,City-linked RD-linked RD,Structural Condition-linked RD,Terrain-linked RD,Urban Location Type-linked RD,AADT Derivation-linked RD,AADT Station Number-linked RD,Opposing Direction Speed Limit-linked RD,Undivided Left Shoulder Type-linked RD,Undivided Left Shoulder Width-linked RD,Truck Exclusion Type-linked RD,Truck Exclusion Time-linked RD,Federal Functional Classification-linked RD
"5297413","DRACUT","09/11/2023","Non-fatal injury","Open","8:19 AM","2023","Suspected Minor Injury (B)","1","Local police","","55-64","55-64","","","08:00AM to 08:59AM","D1: (Swerving or avoiding due to wind, slippery surface, vehicle, object, vulnerable user in roadway) ","D1: External distraction (outside the vehicle)","Collision with utility pole","Yes","Daylight","Single vehicle crash","4","","",""," PW20234313020","Dry","Not at junction","NMCOG","0","1","No controls","Two-way, not divided","V1: Travelling straight ahead","V1:(Passenger car)","V1:(No)","V1:(Yes, vehicle or trailer disabled)","V1: W","Clear","MIDDLESEX"," 23DRA-369-AC","V1:(No, not federally reportable)","No, not federally reportable","Roadside","At Address","No hit and run","","V1:(Collision with utility pole)","Not reported","No, school bus not involved","30","Not reported"," V1:(Collision with utility pole)","No","","","","","","","","210226.20199350","936231.21690928","42.67659852","-71.37524031","55"," COUNTY RD Rte","","","","","","","","","","","3170","2020","0.21","155","0","19","None","City or Town accepted road","","0","0","0","No Shoulder","20","Bituminous concrete road","2","Stable - Unruttable compacted subgrade","2","0","0","None","Large Urbanized Area","Urban collector or rural minor collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","35","COUNTY ROAD","TYNGSBORO ROAD","TYNGSBOROUGH TOWN LINE","DRACUT","Fair","Rolling Terrain","","Grown from Prior Year HPMS Network","","35","0","0","","","Major Collector"
"5298107","TYNGSBOROUGH","08/30/2023","Property damage only (none injured)","Open","7:20 AM","2023","No Apparent Injury (O)","2","State police","A","21-24","55-64","","","07:00AM to 07:59AM","D1: (Inattention)  / D2: (No improper driving) ","D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Rear-end","4","","",""," PW20234313762","Wet","Not at junction","NMCOG","0","0","No controls","Two-way, divided, positive median barrier","V1: Travelling straight ahead / V2: Slowing or stopped in traffic","V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))","V1:(No) / V2:(No)","V1:(Yes, vehicle or trailer disabled) / V2:(Yes, other reason not disabled)","V1: S  / V2: S","Cloudy","MIDDLESEX"," 2023-0A1-006206","V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable","Roadway","Off Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","Traffic congestion related","No, school bus not involved","55","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","204898.99220000","936135.34830000","42.67578738","-71.44023307","",""," RAMP-RT 113 TO RT 3 SB Rte","0 feet    of","","","","","","","","","88519","2014","0.017","1597","0.079","649","None","Massachusetts Department of Transportation","","0","0","10","Hardened bituminous mix or penetration","36","Bituminous concrete road","10","Hardened bituminous mix or penetration","3","3","54","Depressed Median","Large Urbanized Area","Rural or urban principal arterial","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","Full Access Control","3","55","ROUTE 3","","NEW HAMPSHIRE STATE LINE","TYNGSBOROUGH","Good","Level Terrain","","Grown","4129","0","0","0","","","Principal Arterial - Other Freeways or Expressways"
"5300537","TYNGSBOROUGH","09/03/2023","Non-fatal injury","Open","7:54 PM","2023","Suspected Minor Injury (B)","2","State police","A","35-44","35-44","","","07:00PM to 07:59PM","D1: (Operating vehicle in erratic, reckless, careless, negligent or aggressive manner)  / D2: (No improper driving) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Dark - roadway not lighted","Rear-end","4","","",""," PW20234316353","Dry","Not at junction","NMCOG","0","2","No controls","Two-way, divided, positive median barrier","V1: Travelling straight ahead / V2: Travelling straight ahead","V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled)","V1: N  / V2: N","Clear","MIDDLESEX"," 2023-0A1-006320","V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable","Roadway","Exit Number","Yes, hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","65","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","204850.96553169","936551.47463312","42.67953365","-71.44081547","","","","","","","","90","3","","","","77301","2020","0.254","2163","0.084","695","None","Massachusetts Department of Transportation","","0","0","10","Hardened bituminous mix or penetration","36","Bituminous concrete road","10","Hardened bituminous mix or penetration","3","3","54","Depressed Median","Large Urbanized Area","Rural or urban principal arterial","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","Full Access Control","3","55","ROUTE 3","","NEW HAMPSHIRE STATE LINE","TYNGSBOROUGH","Good","Level Terrain","","Pulled back from HPMS network estimation routine","","0","0","0","","","Principal Arterial - Other Freeways or Expressways"
"5303901","TYNGSBOROUGH","08/05/2023","Property damage only (none injured)","Open","4:58 PM","2023","No Apparent Injury (O)","2","Local police","","21-24","25-34","","","04:00PM to 04:59PM","D1: (No improper driving)  / D2: (Inattention) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Rear-end","4","","",""," PW20234319947","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, divided, unprotected median","V1: Travelling straight ahead / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: S  / V2: S","Clear","MIDDLESEX"," 23-177-AC","V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","30","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","205190.65251644","938241.67894518","42.69474663","-71.43665578","422"," MIDDLESEX RD Rte","","","","","","","","","","","17059","2020","0.477","835","0.068","102","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","46","Bituminous concrete road","12","Hardened bituminous mix or penetration","4","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","Grown from Prior Year HPMS Network","","99","0","0","","","Minor Arterial"
"5303903","TYNGSBOROUGH","08/24/2023","Property damage only (none injured)","Open","9:43 AM","2023","No Apparent Injury (O)","2","Local police","","25-34","35-44","","","09:00AM to 09:59AM","D1: (No improper driving)  / D2: (Failed to yield right of way) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Front to Front","4","","",""," PW20234319961","Dry","Driveway","NMCOG","0","0","No controls","Two-way, not divided","V1: Travelling straight ahead / V2: Entering traffic lane","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: S  / V2: E","Clear","MIDDLESEX"," 23-190-AC","V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","206437.05588302","935739.50166828","42.67221274","-71.42147339","180"," MIDDLESEX RD Rte","","","","","","","","","","","7666","2020","0.547","438","0.091","62","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","2","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","45","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","Pulled back from HPMS network estimation routine","","45","Surfaced shoulder exists – Portland Cement Concrete surface (PCC","2","","","Minor Arterial"
"5303904","TYNGSBOROUGH","07/23/2023","Property damage only (none injured)","Open","3:28 PM","2023","No Apparent Injury (O)","2","Local police","","25-34","65-74","","","03:00PM to 03:59PM","D1: (Unknown)  / D2: (Failed to yield right of way) ","","Collision with motor vehicle in traffic","Yes","Daylight","Head-on","4","","",""," PW20234319946","Dry","T-intersection","NMCOG","0","0","Traffic control signal","Two-way, divided, positive median barrier","V1: Travelling straight ahead / V2: Turning left","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(Yes, vehicle or trailer disabled) / V2:(No)","V1: W  / V2: N","Clear","MIDDLESEX"," 23-168-AC","V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","30","No, device not functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","206769.66251360","936266.30904604","42.67695224","-71.41740966","22"," FROST RD Rte","","","","","","","","","","","7805","2020","0.632","445","0.109","63","Both sides","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","0","No Shoulder","2","0","2","Raised Median","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","Grown","","0","0","0","","","Minor Arterial"
"5303911","TYNGSBOROUGH","07/23/2023","Non-fatal injury","Open","6:01 PM","2023","Possible Injury (C)","2","Local police","","65-74",">84","","","06:00PM to 06:59PM","D1: (No improper driving)  / D2: (Failed to yield right of way) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Angle","4","","",""," PW20234319966","Dry","Four-way intersection","NMCOG","0","1","No controls","Two-way, not divided","V1: Travelling straight ahead / V2: Entering traffic lane","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled)","V1: N  / V2: E","Clear","MIDDLESEX"," 23-170-AC","V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","45","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","208610.05950071","933939.49107228","42.65598793","-71.39499165","185"," PAWTUCKET BLVD Rte","","","","","","","","","","","7829","2020","0.309","447","0.049","62","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","8","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","1","45","PAWTUCKET BOULEVARD","","PAWTUCKET BOULEVARD","TYNGSBOROUGH","Good","Level Terrain","","Pulled back from HPMS network estimation routine","","45","Surfaced shoulder exists – Portland Cement Concrete surface (PCC","8","","","Minor Arterial"
"5303913","TYNGSBOROUGH","07/25/2023","Property damage only (none injured)","Open","10:08 PM","2023","No Apparent Injury (O)","1","Local police","","55-64","55-64","","","10:00PM to 10:59PM","D1: (Failure to keep in proper lane or running off road) ","D1: Not Distracted","Collision with unknown fixed object","Yes","Dark - lighted roadway","Single vehicle crash","4","","",""," PW20234319953","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Travelling straight ahead","V1:(Passenger car)","V1:(No)","V1:(Yes, other reason not disabled)","V1: N","Clear","MIDDLESEX"," 23-171-AC","V1:(No, not federally reportable)","No, not federally reportable","Outside roadway","At Address","No hit and run","","V1:(Collision with other fixed object (wall, building, tunnel, etc.))","None","No, school bus not involved","25","Not reported"," V1:(Collision with other fixed object(wall, building, tunnel, etc.))","No","","","","","","","","207223.98389113","934558.14042098","42.66157117","-71.41188844","1"," LONGFELLOW LN Rte","","","","","","","","","","","","","","","","","","Unaccepted by city or town","","0","0","0","No Shoulder","0","0","0","No Shoulder","0","0","0","None","Large Urbanized Area","Local","Boston (MA-NH-RI)","","","","No Access Control","","","LONGFELLOW LANE","MAPLE RIDGE ROAD","DICKENS LANE","TYNGSBOROUGH","","Level Terrain","","","","","0","0","","","Local"
"5303914","TYNGSBOROUGH","08/07/2023","Property damage only (none injured)","Open","9:12 AM","2023","No Apparent Injury (O)","2","Local police","","45-54","45-54","","","09:00AM to 09:59AM","D1: (No improper driving)  / D2: (Operating vehicle in erratic, reckless, careless, negligent or aggressive manner) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Sideswipe, opposite direction","4","","",""," PW20234319967","Wet","Four-way intersection","NMCOG","0","0","Traffic control signal","Two-way, not divided","V1: Turning left / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: N  / V2: S","Cloudy/Rain","MIDDLESEX"," 23-178-AC","V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","206323.87578437","936116.02085734","42.67560310","-71.42284994","214"," MIDDLESEX RD Rte","","","","","","","","","","","6957","2011","2","148","1.2","95","Both sides","","","0","4","0","No Shoulder","24","Bituminous concrete road","0","No Shoulder","2","2","2","Raised Median","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","Estimate","7077","0","0","0","","","Minor Arterial"
"5303916","TYNGSBOROUGH","07/28/2023","Non-fatal injury","Open","2:11 PM","2023","Possible Injury (C)","2","Local police","","21-24","65-74","","","02:00PM to 02:59PM","D1: (Unknown)  / D2: (No improper driving) ","D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Rear-end","4","","",""," PW20234319955","Dry","Four-way intersection","NMCOG","0","2","Traffic control signal","Two-way, not divided","V1: Travelling straight ahead / V2: Slowing or stopped in traffic","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled)","V1: E  / V2: E","Clear","MIDDLESEX"," 23-172-AC","V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","209408.75753643","933403.51062339","42.65115374","-71.38525953","250"," PAWTUCKET BLVD Rte","","","","","","","","","","","9056","2020","0.066","516","0.004","75","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","2","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","1","40","PAWTUCKET BOULEVARD","","PAWTUCKET BOULEVARD","TYNGSBOROUGH","Good","Level Terrain","","Pulled back from HPMS network estimation routine","","40","Surfaced shoulder exists – Portland Cement Concrete surface (PCC","2","","","Minor Arterial"
"5303917","TYNGSBOROUGH","08/29/2023","Non-fatal injury","Open","6:06 PM","2023","Suspected Minor Injury (B)","2","Local police","","55-64","65-74","","","06:00PM to 06:59PM","D1: (Failed to yield right of way)  / D2: (No improper driving) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Angle","4","","",""," PW20234319969","Dry","T-intersection","NMCOG","0","1","No controls","Two-way, not divided","V1: Turning left / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(Yes, vehicle or trailer disabled)","V1: W  / V2: N","Clear","MIDDLESEX"," 23-194-AC","V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable","Roadway","Off Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","208601.89070000","934894.75000000","42.66458731","-71.39507695","",""," SHERBURNE AVE Rte","","","","","","","","","","3581","2020","","","","","None","City or Town accepted road","","0","0","0","No Shoulder","20","Surface-treated road","2","Stable - Unruttable compacted subgrade","2","0","0","None","Large Urbanized Area","Urban collector or rural minor collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","35","WILLOWDALE ROAD","SHERBURNE AVENUE","","TYNGSBOROUGH","Fair","Level Terrain","","Pulled back from HPMS network estimation routine","","35","0","0","","","Major Collector"
"5303919","TYNGSBOROUGH","08/05/2023","Property damage only (none injured)","Open","3:59 PM","2023","No Apparent Injury (O)","2","Local police","","18-20","65-74","","","03:00PM to 03:59PM","D1: (Inattention)  / D2: (No improper driving) ","","Collision with motor vehicle in traffic","Yes","Daylight","Rear-to-rear","4","","",""," PW20234319957","Dry","Not at junction","NMCOG","0","0","No controls","Unknown","V1: Backing / V2: Slowing or stopped in traffic","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(Yes, vehicle or trailer disabled)","V1: E  / V2: W","Clear","MIDDLESEX"," 23-176-AC","V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable","Outside roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","30","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","205561.43989661","933787.94902536","42.65465154","-71.43217409","150"," WESTFORD RD Rte","","","","","","","","","","","13787","2020","0.632","786","0.109","111","None","City or Town accepted road","","0","0","0","No Shoulder","24","Surface-treated road","2","Stable - Unruttable compacted subgrade","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","35","WESTFORD ROAD","WESTFORD TOWN LINE","MIDDLESEX ROAD","TYNGSBOROUGH","Fair","Level Terrain","","Grown","","35","0","0","","","Minor Arterial"
"5303921","TYNGSBOROUGH","08/17/2023","Property damage only (none injured)","Open","4:36 PM","2023","No Apparent Injury (O)","2","Local police","","45-54","55-64","","","04:00PM to 04:59PM","D1: (No improper driving)  / D2: (Failed to yield right of way) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Angle","4","","",""," PW20234319958","Dry","Four-way intersection","NMCOG","0","0","Traffic control signal","Two-way, divided, unprotected median","V1: Travelling straight ahead / V2: Turning left","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled)","V1: E  / V2: N","Clear","MIDDLESEX"," 23-184-AC","V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","30","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","206769.66251360","936266.30904604","42.67695224","-71.41740966","22"," FROST RD Rte","","","","","","","","","","","7805","2020","0.632","445","0.109","63","Both sides","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","0","No Shoulder","2","0","2","Raised Median","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","Grown","","0","0","0","","","Minor Arterial"
"5303922","TYNGSBOROUGH","09/20/2023","Property damage only (none injured)","Open","4:58 PM","2023","No Apparent Injury (O)","2","Local police","","25-34","35-44","","","04:00PM to 04:59PM","D1: (No improper driving)  / D2: (Inattention) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Rear-end","4","","",""," PW20234319972","Dry","Four-way intersection","NMCOG","0","0","Traffic control signal","Two-way, not divided","V1: Slowing or stopped in traffic / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: N  / V2: N","Clear","MIDDLESEX"," 23-211-AC","V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","45","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","209408.75753643","933403.51062339","42.65115374","-71.38525953","250"," PAWTUCKET BLVD Rte","","","","","","","","","","","9056","2020","0.066","516","0.004","75","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","2","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","1","40","PAWTUCKET BOULEVARD","","PAWTUCKET BOULEVARD","TYNGSBOROUGH","Good","Level Terrain","","Pulled back from HPMS network estimation routine","","40","Surfaced shoulder exists – Portland Cement Concrete surface (PCC","2","","","Minor Arterial"
"5303923","TYNGSBOROUGH","08/20/2023","Property damage only (none injured)","Open","12:43 PM","2023","No Apparent Injury (O)","2","Local police","","16-17","25-34","","","12:00PM to 12:59PM","D1: (No improper driving)  / D2: (Followed too closely) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Rear-end","4","","",""," PW20234319960","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Slowing or stopped in traffic / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: N  / V2: N","Clear","MIDDLESEX"," 23-187-AC","V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","207361.00754363","937442.62106058","42.68753600","-71.41018010","100"," FROST RD Rte","","","","","","","","","","","7805","2020","0.632","445","0.109","68","None","City or Town accepted road","","0","0","0","No Shoulder","24","Surface-treated road","0","No Shoulder","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","20","FROST ROAD","PAWTUCKET BOULEVARD","NEW HAMPSHIRE STATE LINE","TYNGSBOROUGH","Fair","Level Terrain","","","","20","0","0","","","Minor Arterial"
"5303924","TYNGSBOROUGH","09/18/2023","Property damage only (none injured)","Open","3:15 PM","2023","No Apparent Injury (O)","2","Local police","","16-17","55-64","","","03:00PM to 03:59PM","D1: (No improper driving)  / D2: (No improper driving) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Front to Rear","4","","",""," PW20234319970","Wet","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Slowing or stopped in traffic / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(Yes, vehicle or trailer disabled)","V1: S  / V2: S","Rain","MIDDLESEX"," 23-210-AC","V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","No, device not functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","208143.12323039","936434.09861674","42.67844949","-71.40065097","56"," COBURN RD Rte","","","","","","","","","","","1154","","","","","","None","City or Town accepted road","","0","0","0","No Shoulder","22","Surface-treated road","0","No Shoulder","2","0","0","None","Large Urbanized Area","Local","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","1","","COBURN ROAD","SHERBURNE AVENUE","PARHAM ROAD","TYNGSBOROUGH","Fair","Level Terrain","","","","","0","0","","","Local"
